2018-05-22 11:18:04,090 [1] INFO  ZXClient.Updater.AutoUpdater - 开始升级
2018-05-22 11:18:04,231 [1] INFO  ZXClient.Updater.AutoUpdater - 检测到升级文件2个
2018-05-22 11:18:04,471 [1] INFO  ZXClient.Program - 服务器地址:http://111.230.14.84:8080/
2018-05-22 11:18:04,471 [1] INFO  ZXClient.Program - 服务器IP:111.230.14.84
2018-05-22 11:18:04,472 [1] INFO  ZXClient.Program - 服务器端口:8080
2018-05-22 11:18:04,472 [1] INFO  ZXClient.Program - 评价器IP:192.168.1.119
2018-05-22 11:18:04,472 [1] INFO  ZXClient.Program - 连接类型:USB连接
2018-05-22 11:18:04,472 [1] INFO  ZXClient.Program - FTP:111.230.14.84, 21, zxeval, zxeval
2018-05-22 11:18:07,297 [6] INFO  ZXClient.WorkForm - 没有吸附
2018-05-22 11:18:07,306 [6] INFO  ZXClient.WorkForm - 没有吸附
2018-05-22 11:18:07,308 [6] INFO  ZXClient.WorkForm - 吸附在上面
2018-05-22 11:18:08,839 [7] INFO  ZXClient.WorkForm - 设备端口8000重定向到本地端口8011
2018-05-22 11:18:09,045 [7] INFO  ZXClient.WorkForm - (USB)发送内容：S99||0||E
2018-05-22 11:18:09,127 [7] INFO  ZXClient.WorkForm - S99||0||EFalse接收数据:RecvCmdOKS99||16||CCB8A8DB14F8||0||0||80||85||16||E
2018-05-22 11:18:09,127 [7] INFO  ZXClient.WorkForm - S99||0||E------------------:RecvCmdOK
2018-05-22 11:18:09,127 [7] INFO  ZXClient.WorkForm - S99||0||E------------------:S99||16||CCB8A8DB14F8||0||0||80||85||16||E
2018-05-22 11:18:09,127 [7] INFO  ZXClient.WorkForm - 连接评价器成功！
2018-05-22 11:18:09,127 [7] INFO  ZXClient.WorkForm - S99||0||E获取设备mac地址:CCB8A8DB14F8，设备资源版本号：16，设备更新资源版本号：16
2018-05-22 11:18:09,128 [7] INFO  ZXClient.WorkForm - 设备连接成功
2018-05-22 11:18:09,132 [7] INFO  ZXClient.util.HttpUtil - 接口请求:http://111.230.14.84:8080/employeeGetInfo.action?cardnum=10010
2018-05-22 11:18:09,211 [7] INFO  ZXClient.util.HttpUtil - 接口请求结果:{"Id":25,"deptid":230475,"Name":"檀艺源","Sex":"1","job_desc":"test1","CardNum":"10010","PassWord":"49BA59ABBE56E057","birthday":null,"Phone":"","beginWorkTime":null,"picture":"upload/152602327191090.bmp","remark":"","ext1":null,"ext2":"10010","showDeptName":"","showWindowName":"","companyName":"","ext3":"","ext4":"6A26E27A52F1DBDF0B40FEF12F3B5317","isonline":1,"onlinetime":{"date":22,"day":2,"hours":11,"minutes":18,"month":4,"nanos":10000000,"seconds":6,"time":1526959086010,"timezoneOffset":-480,"year":118},"deptName":"个税大厅","star":""}
2018-05-22 11:18:09,625 [7] INFO  ZXClient.WorkForm - 发送文件：picture/user_10010.jpg
2018-05-22 11:18:10,627 [7] INFO  ZXClient.util.HttpUtil - 接口请求:http://111.230.14.84:8080/employeeInfoSetDownload
2018-05-22 11:18:10,778 [7] INFO  ZXClient.WorkForm - (USB)发送内容：S04||10010|name,姓名,檀艺源|jobDesc,职务,test1|jobNum,工号,10010|star,星级,||E
2018-05-22 11:18:10,945 [7] INFO  ZXClient.WorkForm - S04||10010|name,姓名,檀艺源|jobDesc,职务,test1|jobNum,工号,10010|star,星级,||EFalse接收数据:RecvCmdOK
2018-05-22 11:18:10,945 [7] INFO  ZXClient.WorkForm - S04||10010|name,姓名,檀艺源|jobDesc,职务,test1|jobNum,工号,10010|star,星级,||E------------------:RecvCmdOK
2018-05-22 11:18:10,946 [7] INFO  ZXClient.WorkForm - (USB)发送内容：S98||0111.230.14.84||E
2018-05-22 11:18:11,084 [7] INFO  ZXClient.WorkForm - S98||0111.230.14.84||EFalse接收数据:RecvCmdOK
2018-05-22 11:18:11,084 [7] INFO  ZXClient.WorkForm - S98||0111.230.14.84||E------------------:RecvCmdOK
2018-05-22 11:18:11,084 [7] INFO  ZXClient.WorkForm - (USB)发送内容：S14||2018||5||22||11||18||11||E
2018-05-22 11:18:11,107 [7] INFO  ZXClient.WorkForm - S14||2018||5||22||11||18||11||EFalse接收数据:RecvCmdOK
2018-05-22 11:18:11,107 [7] INFO  ZXClient.WorkForm - S14||2018||5||22||11||18||11||E------------------:RecvCmdOK
2018-05-22 11:18:11,107 [7] INFO  ZXClient.util.HttpUtil - 接口请求:http://111.230.14.84:8080/getDeptVideo.action?mac=CCB8A8DB14F8
2018-05-22 11:18:11,176 [7] INFO  ZXClient.util.HttpUtil - 接口请求结果:2
2018-05-22 11:18:11,176 [7] INFO  ZXClient.WorkForm - 获取设备CCB8A8DB14F8录音录像权限:2
2018-05-22 11:18:11,177 [7] INFO  ZXClient.WorkForm - (USB)发送内容：S17||2||E
2018-05-22 11:18:11,204 [7] INFO  ZXClient.WorkForm - S17||2||EFalse接收数据:RecvCmdOK
2018-05-22 11:18:11,204 [7] INFO  ZXClient.WorkForm - S17||2||E------------------:RecvCmdOK
2018-05-22 11:18:11,205 [7] INFO  ZXClient.WorkForm - 开始心跳
2018-05-22 11:18:11,205 [7] INFO  ZXClient.WorkForm - 呼叫器监听建立失败1:通常每个套接字地址(协议/网络地址/端口)只允许使用一次。
2018-05-22 11:18:21,205 [9] INFO  ZXClient.WorkForm - (USB)发送内容：S99||0||E
2018-05-22 11:18:21,288 [9] INFO  ZXClient.WorkForm - S99||0||EFalse接收数据:RecvCmdOKS99||16||CCB8A8DB14F8||0||0||80||85||16||E
2018-05-22 11:18:21,288 [9] INFO  ZXClient.WorkForm - S99||0||E------------------:RecvCmdOK
2018-05-22 11:18:21,288 [9] INFO  ZXClient.WorkForm - S99||0||E------------------:S99||16||CCB8A8DB14F8||0||0||80||85||16||E
2018-05-22 11:18:21,288 [9] INFO  ZXClient.WorkForm - 连接评价器成功！
2018-05-22 11:18:21,288 [9] INFO  ZXClient.WorkForm - S99||0||E获取设备mac地址:CCB8A8DB14F8，设备资源版本号：16，设备更新资源版本号：16
2018-05-22 11:18:21,288 [9] INFO  ZXClient.util.HttpUtil - 接口请求:http://111.230.14.84:8080/employeeHeart.action?mac=CCB8A8DB14F8&cardNum=10010
2018-05-22 11:18:21,330 [9] INFO  ZXClient.util.HttpUtil - 接口请求结果:online
2018-05-22 11:18:21,330 [9] INFO  ZXClient.WorkForm - 2018/5/22 11:18:21心跳：onlineCCB8A8DB14F8
